,text,label
0,If you've ever been to Disneyland anywhere you'll find Disneyland Hong Kong very similar in the layout when you walk into main street! It has a very familiar feel. One of the rides  its a Small World  is absolutely fabulous and worth doing. The day we visited was fairly hot and relatively busy but the queues moved fairly well. ,1
25843,"Just got back from California for my 4 year old's first experience of Disneyland... we had a blast! The updates to the park have been done beautifully, and the maintenance of the park is awesome... it's as magical as i remember it, only better as time goes by. All the 'cast members' were pleasant and lovely, curtsie ing (sp?!) to my daughter and adressing her as  Princess.  She loved it. We did a 5 day park hopper... which i found was a day or two too much for a little girl. next time, i think we'll go with a 3 day park hopper, and have a few days in between to relax, etc... we discovered that leaving the parks for lunch and a swim nap is the way to go... the last 2 days we did that, we had zero meltdowns and or tantrums... and it was 107 degrees! Came back into the parks for rides one night, and Fantasmic the next... she loved being up so late, and i loved how beautiful the park was at night... (p.s. Jungle Cruise, Big Thunder, and Dumbo are WAY better at night!)Fabulous first Disney vacation... makes me want to start planning the next trip!",1
25863,"Not much to say about the park that pretty much everyone has been to. Its still the best and still worthy of anyone's time to visit.We really enjoyed our trip in August this year and the weather was great, the crowds not too bad. Disappointed my son beat me on Buzz, but I got him back by taking him on Casey Jnrs circus train. Its a small world is too enjoyable to use as punishment :)Lovely to see characters wandering around free at times, something you don't see in Orlando parks with plenty of fun interaction. You can't go wrong with Disneyland and we can't wait to go back.",1
25864,we went last month with our 4 yr old and the experience was amazing . we just went for 1 day due to short of time but it was totally worth it.. my daughter totally enjoyed it..Looking forward to go anytime..i loved the snacks they have there its soo healthy fruits with little spices...woww it was amazing..,1
25865,"No one does this kind of attraction like Disney does. The replication of the Radiator Springs and the surrounding area is beyond description. We went during the  slowest weeks of the year . Thank goodness because I hate crowds. There seemed to be a lot of break downs in California Adventure the day we were there which cause a rift in our plans and made for some extra walking. Numerous rides including the coaster were on and off all day. (safety first).I agree with  claucrasoda  who said  if you are not a patient person or dislike crowds then stay away....  We have a special needs child but even with a guest assistance pass there are waits and disappointments. If you have a child under 40  tall DO NOT get in line until you make sure they can ride rather than find out after waiting in line. If the child is close to 40  put a pair of shoes on them with thick souls and heals. Disney DOES NOT make exceptions to the height requirements.Disneyland is NOT inexpensive. You won't enjoy it if you are worried about how much things cost there. Plan ahead, over budget and enjoy. If you pay $7 for a corn dog just know that it is the best corn dog in the world :)",1
25866,"My wife and I took our 7 and 6 year olds to Disney for the first time last week. This was also my first time to Disneyland so I wasn't sure what to expect although I had heard plenty of good stories. We spent Friday and Saturday there and chose the week after Labor Day as we had heard the park wasn't too crowded that week. I was surprised at the amount of people that were there even though it was a school week. Nevertheless, the crowds were not too big to cause us to buy the Fastpass. The park was very clean   lots of staff cleaning. The attractions were all well maintained and plenty of cast members working to keep lines manageable. We ate lunch at the Carnation Cafe and had a good, friendly server and the meal was enjoyable and timely. All of the cast members we interacted with were friendly and helpful. I left feeling good about getting our money's worth and would visit again. Although, I will probably choose a school week again because I would expect the crowds during the summer or holidays to be more than I would want to experience.",1
25867,"No matter what age you are, this is the place to go and play.You get a lot for your money. If you go often, buy an annual passand parking pass. It is really an all day fun adventure. If it is crowdeduse the fast pass. They really do work.",1
25868,If you are looking to spend quality time with your children...this is the place...if you are not a patient person or dislike crowds then stay away...come early stay at the Disney resorts and enjoy ealry admission this helps you avoid crowds inside Fantasyland and you can enjoy the coolness of the morning...watch Fantasmic at the Riverbelle while you have dinner and don't forget to be a kid again!,1
25869,"I went to Disneyland in 1989, I was 22 but I have magical memories of it. I left my age at the gate and regressed to childhood. Expensive? Yes but what price can you put on feeling young at heart again.",1
25870,Does Disneyland even need a review?  It's amazing and everyone should go at least twice in their lives.  But of course it's crowded and pricey.  Bring your own water bottles and pack a sandwich for lunch.,1
25872,"Weekdays no fast passes, it was very quick to get through on a Monday, i would recommend going during the week if you can",1
25873,"My family of 6 just went to Disneyland, we haven't been in years. I was floored to see the price of admission. $87 for one park or $125 for a park hopper. Needless to say it hits the pocket book FAST. A friend told me about ticketsinc1.com they have hopper tickets for just $99. With a savings of $26 per person, we were able to enjoy both parks get a turkey leg and buy a souvenir. Awesome!",1
25874,No line and no wait longer than 10 minutes. Most of the kids with us were from NZ and Aust so they were able to go on all the rides that were open.,1
25875,"This was one of the best days my family has ever had. The park is super clean, with lots of great rides that didn't break down. Characters were around the park, the food was great at the special restaurant in the pirates of the Caribbean ride. This is an amazing place.",1
25876,I finally to step on ground to Walt's famous park and almost put me to tears.. after singing and humming to Walts cartoons and movie 30 years ago and now 30 years later.. it embraced me with open arms.. I took the nostalgic walk and rides and I'm a kid again. You have to be here minimum 2 days to enjoy the Park..avoid weekends if you dont want to wait close to 90 minutes to their famous rides. Total 100% Fun.. I'll be back.,1
25879,The worst day at Disney is better thatn the best day anywhere where else. We had a great time and can't wait to get back again!,1
25880,I really enjoyed taking the family this year. The park was fun I especially love some of the new rides. We have a little one and she was able to ride allot of rides. Family had a good time and we had no trouble getting on the rides. Downtown Disney was great too we ate at the Rain Forrest Cafe I recommend it. If money is tight there are allot of food choices nearby. There were plenty of characters around to take pictures with. A great place for the family.,1
25862,"LOVE Disneyland! I did encounter some unhappy employees. Heard many complaining about hours and such and a few were a bit snappy. Can't say I really blame them tho, not sure I would do any better dealing with all those people. It seems like the general public leaves their brains and manners at the gate as the walk in.",1
25861,"Disney is the best hands down and we love going back again and again. They have the best service, and environment! We love Disney! Thanks for a great visit!",1
25860,"Must see. Newest attraction @ Disneyland,Anaheim,CA. Get to park early because Fast Pass go quickly and average non pass wait is about an hour.",1
25851,"A lot of fun for kids of all ages. Getting a bit expensive, but the annual passes pay for themselves after a couple of visits. It is also nice to have them since you can visit both parks. IF Disney is too busy, we just go to California adventure.",1
25845,Loved it! We had a 3 day park hopper ticket and could have spent more time there. The evening shows were amazing. Great rides for kids ( aged 6 & 8),1
25846,"Halloween overlays for Space Mountain & the Haunted Mansion were up   great!  Lines were minimal mid week, but very long on Friday.",1
25847,"We have grown to love Disneyland... we have been three times in the past two years. For such a stressful and chaotic place, it can actually be quite relaxing if you keep it simple. I strongly recommend staying on site and spending a minimum of 3 nights 4 days. It will be spendy but worth it.The first two trips we stayed at the Grand Californian Hotel, which I highly recommend. It is closest to the park and allows for lot of breaks and quick trips to the room. This year we tried the Disneyland Hotel, which was very nice, but not as convenient. I will still recommend it if you can get a considerably better deal than the GC. The Disney properties are significantly more money, but I think they are well worth it for the convenience (location, nice pools, etc.).From SNA (John Wayne Orange County Airport) there is a very convenient shuttle bus that takes you directly to your hotel. It is inexpensive and runs frequently (every 30   60 minutes). We have found this so much easier and less stressful than renting a car and dealing with traffic, parking, etc.Our first two trips we spent 3 nights and 4 days and this trip we spent 4 nights and 5 days.Be sure to get a Hopper pass and get the extra day. It is worth it for night shows (World of Color, Fireworks and Fantasmic)Vons (Safeway) offers FREE online delivery service (first purchase). All Disney hotel rooms have a fridge. I recommend stocking up on breakfast and lunch snacks. You can schedule the delivery for the day you arrive. The hotel will hold your items. We scheduled a 2 3 PM delivery on the day we checked in.It is also VERY helpful to make dinner reservations in advance. I recommend Naples and Jazz Kitchen in Downtown Disney.Don't miss the fireworks, World of Color show and Fantastic show (9 PM). They are all wonderful. The parades are also pretty magical. I recommend the VIP Fantasmic Dessert    you will have a great reserved seat (spendy but worth it!).I also highly recommend the Aladdin play (45 minutes) and the  It's Tough to be a Bug  movie (15 minutes)    Very wonderful experiences!Rides like Tower of Terror, Indiana Jones and Space Mountain can be scary    Use caution. Try rides like Pirates of the Caribbean, Splash Mountain, Thunder Mountain Railroad and the Haunted Mansion first (they are our favorites just slightly scary thrill). Also be sure to spend some time on Tom Sawyer's Island    lots of cool cave's to explore.",1
25848,"I have always dreamed of visiting this great place since i was a child, i used to watch Disneyland every Sunday at 6 o'clock as a child, this was the highlight of my week. Now i have finally been and the memory will stay with me forever! ",1
25849,Great place   a must see if you are in LA.You need at least a whole day if not two or three...... !You gotta be patient   lots of people there but great fun   sometimes you need to stand in line for up to 1 hour or more unless you the check in system wich is A OK.It is pricy   but worth it : )))Gotta go there again!,1
25850,Only disliked the heat. Wasn't expecting that.    Everything else was love!  Loved the Jack Skellington overlay at the Haunted Mansion,1
25852,We loved the Bibbidi Bobbidi Boutique and all the opportunities to meet characters.  Our family's favourite ride was Star Tours   we couldn't get enough of it!,1
25859,Parks are extremely clean. All staff and crewmembers are friendly and helpful. The rides are fun and there is so much to do for any age group. Can't wait to go back!,1
25853,"Lots of rides needed upgrading (Big Thunder Mountain kept breaking down, Matterhorn bobsleds was so rickety it was quite painful) but I still loved this park. Space Mountain was much faster than I remembered and Star Tours has totally changed their simulator ride   much more fun now! Indiana Jones was the BEST with lots of excellent and fun surprises! DO NOT MISS THIS RIDE!Don't forget to buy your Star Tours tshirt, you can't get it anywhere else but in Tomorrowland.And spare some time to visit Downtown Disney after you're done at this park   there is a D Street there that sells things not found in the park (especially vinylmations!).",1
25854,"Just got back from a three day hopper at Disneyland. Our first time to anything Disney and it was pretty great! Monday and Tuesday...the weather was pleasant and the lines low. Basically walked on to all the classic rides (teacups, dumbo, etc.). We got an idea of what summer is like on Friday when temps got up to 105 and the crowds increased. Uck.We learned how to catch all the princesses within about an hour. Near It's a Small World, they have a princess meet and greet where they line up three to four princesses at a time. They change out every 30 minutes or so. Wait in line to see the first set of princesses and then get back in line and get to the front...then let everyone pass until the next set of princesses arrive. We met Tianna, Aurora, Cinderella, Belle, Jasmine, Snow White and Ariel this way. ALL of the characters went out of their way to make the moments special for our little girl. We were very pleased! When trying to meet Tinkerbell at Pixie Hollow, be sure to ask whether she is in or not before waiting in line. Was a little frustrating waiting a long time and then meeting other pixies. The autograph books worked great (they have a generic disney book and a princess book). I'd suggest buying atleast one of the big fat pens (of course Disney sells them: ), as they are easier for the bigger characters like Mickey and Minney to use.We noticed lots of complaints about the staff on tripadvisor. We weren't blown away by their hospitality and service, but we weren't disappointed either. I'd say they were average. The Bibbidi Bobbidi Boo Boutique was wonderful. They made my daughter so beautiful and feel so special. Well worth the cost.My husband and son did the  Discover the Magic  tour and had fun. It's based on a the kids exploring the park and solving a mystery with two Disney tour guides. They got to ride 4 or 5 rides, bypassing the lines, and met Mickey at the end. They also got a snack drink at the end. Similar to the staff comment above, the tour guides were average, but certainly didn't make it  magical.  Our kids loved the Dole Whip. We took advantage of the Tiki Show that accompanies the Dole Whip stand. We got our dessert quicker by going inside the waiting area and ordering there...and then going into the show. We hadn't planned to go to the show, but it proved to be a nice break from the crowds and heat...and we got to finally enjoy the ice cream concoction! Goofy's Kitchen was a lot of fun and the food was abundant. Great variety of adult and children's favorites (mac & cheese pizza, peanut butter and jelly pizza, and all kinds of  goofy  creations). The characters made it memorable and fun.Our  Magic Morning  was a little confusing. We weren't allowed into Disney Adventure (even though the web site says that they are open for magic morning) and the rides were limited in Disneyland. Not a big deal, but we were a little disappointed.California Adventure was ok. We spent most of our time in the boardwalk area riding the classic rides (swings, rollercoaster, ferris wheel). We waited very little. Carsland was nuts...really busy. We weren't willing to wait 90  minutes for the big rides (and we were too late for the fast pass), so we moved on. The Mater ride was fun. We also had a good time in the Bugs area. Lunch at Ariel's Grotto was nice. Expensive, but fun to watch our daughter waiting and meeting more princesses. Overall, we had a great time at Disneyland!",1
25855,Wow! Disney is everything they say and more! It's just magical and there is no excuse for not taking your children there. Literally magical. The parade at 7pm is also pretty awesome and you get to see all of the characters together.,1
25856,It was hubby and son's first trip. We went on an off season so there were some rides down for refurbs but there is so much to do. We are just sitting here wondering why we just didn't do this wonderful trip earlier.,1
25857,"I was born in HB in the 1960's and my folks would take us to Disneyland at least once a year. My husband and I visited the coast in HB last week for a few days and we also went to Disneyland. He had never been there. We both really enjoyed it, we went just after school started so the wait times for the rides were not at all long waits and we were there on a weekday. My favorite ride has always been Pirates of the Carribean and my husband said that was his favorite also. We also enjoyed riding the monorail for a little scenic sit down break around the park. Out of all the times I've been to Disneyland, that was the first time I ever rode that ride lol. I was really disappointed though because the Haunted Mansion was closed :( That was also one of my favorites and that's all I talked about to my husband for several days before we got there. That was minor though compared to the rest of the park. A great time once again at the Happiest place on earth!",1
25858,We really liked Disneyland Park. The weather was very hot during our stay and some of the lines offered relief from that. We wished that the bathrooms were more frequent easier to find. Also there wasn't very many Disney Photopass photographers around during our visit. They seemed to be all at California Adventure. There was plenty to do and more than enough to keep my kids talking about it for years on end.,1
25881,"Better than the Orlando park, because you don't have to walk miles to see the attractions. Take advantage of the  no waiting   event tickets. Don't miss the Blue Bayue restaurant ( in the swamp).",1
25882,"It's Disney.....need I say any more? Before you go, just make sure on the hours. When I made reservations to go, the hours were to 10:00 pm and when we got there, they closed at 5 for a private party. I felt a little jipped but otherwise had a great time.",1
25883,"Cannot fault Disney, the always get the details right.  It really is the happiest place on earth!   Happy staff, friendly people, only  problem  was Disney Adventure closed at 10pm the day before a public holiday??!",1
25911,"I love Disneyland, and ever trip is just as special as the first visit. Always clean and beautiful. My only compliant would be actually be against some of the inconsiderate patrons with their enormous strollers that mow you down at any given chance. Please people not all of us that enjoy disney, have children. And those of you who have half a sense to watch where your going, I thank you.",1
25905,We enjoyed more rides at the park this time as everyone seemed to be at California Adventure Park. Wait time was just the walk through the entrance on many rides.Good time to take advantage of short lines for us.More leaves on the ground than we had seen on previous trips   must be the time of year. Park personnel were busy as usual cleaning everywhere.,1
25906,"Wonderful park, pricey food. Had a great time with the family. Better off going here than accross to the California adventure.",1
25907,"You can never go wrong with Disney. The park is like entering a time warp into a simpler happier place. They keep it as clean as anything you have ever seen. The staff is as pleasant as any group of employees I have ever dealt with. I would recommend a trip here for all, regardless of age. You won't be disappointed.",1
25908,"It's Disneyland what can I say? Every family needs at least one well planned out, and saved for vacation to this park. Do your research, save your money, if its done right this is a vacation that can be the best one you'll have.",1
25909,We must have we on the hottest day! The lines were a bit long but this was a trip that my whole family and I will never forget! Nothing like creating memories.,1
25910,"DL was not crowded on Thursday so we were able to finish mostly everything. Lines were short and waiting times were down to a minimum. Not as hot as it would be in July. Little cooler and the night was warm too, just a slight chill. You don't even need a jacket.",1
25912,It opens 10am to 12 pm. You can leave and re enter the park the whole day. The 15 min fireworks daily starting at 9:30PM. Must see Jungle Tour and It's A Small World.,1
25902,Disneyland as always was fun. Food is always expensive and water. Bring in your own water bottle and save.,1
25913,"Visited the original park from the UK for the first time and had mixed feelings. As a regular to Orlando we found the park rather busier than expected but felt the sense of history and classic nature of the park was enough to outweigh the slightly claustrophobic feel of the crowds. Best of the park for us were Astro Blasters, Star Tours (much improved with the new films!) and Indiana Jones. Also do NOT miss the Fantasmic show which we felt was better than Orlando (look a full size pirate ship!). However we do not understand the love for some of the older classic attractions (Matterhorn Bobsleds?) and the Captain Eo 3D show was hilariously bad!",1
25914,"Everything, Everything! Your first trip and each time after will be fun! I dont like it that the characters are so out of view during the day. I dont understand why in the area of Hollywood, they cant find a Talking Mickey Mouse! Indiana Jones ride    so fun! Star Wars  wow they can all be Virtual if they could be like that! Love the Burgers there in that part of the park by the Matterhorn. Best if you can figure out how to use the Fast Pass!",1
