,text,label
0,"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night,  ",1
12879,"great hotel helpful staff safely say hotel excellent bargain, rooms clean service excellent, desk personnel remembered names greeted time walked, spoke good english.the hotel located 50 yards metro station couple blocks form main montparnasse station.while not largest hotel room world certainly acceptable european standpoint extremely clean updated, defintitely stay hotel comfortable recommending friends family,  ",1
12885,"good budget hotel contacted hotel directly got price 85 euros night steal especially paris, little nervous reviews positive good really little money, close metro station block close little shops, desk staff nicest encountered hotel accommodating, internet use lobby no wi-fi time visit, choose hotel breakfast great choices outside hotel n't bother, rooms small-ish not terribly small path bed extent extra room like spend time room sleeping wo n't matter, rooms tv little fridge hairdryers decent bathrooms, little noisy night time rugby season sounds hallway really carry rooms, managed sleep ok. looking affordable decent gem, want space/amenities/quiet n't suggest,  ",1
12884,"great little budget paris just returned month europe flying paris, picked hotel days paris chose return left, agree positive reviews photos accurate great location day paris sight-seeing great metro stop block away friendly helpful staff fluent english lots shops restaurants cafes nearby clean rooms yes small slept free internet lobby, definitely choose, breakfast available basement croissants rolls cheese cold cuts cereal fruit probably worth account convenience bottomless coffee cup wo n't paris cafes,  ",1
12883,"great little hotel great hotel paris, contacted hotel directly got great rate 5 euro night new year eve, staff great really helpful, rooms bit small not really problem, tv fridge hairdryer room great room bathroom really clean cleaned bed day.there metro station literally corner easy tourist attractions 3 4 stops middle champs-elysses, area lovely cafes patisseries supermarket corner.i really surprised good hotel great price, definetely recommend people,  ",1
12882,"great hotel great read reviews right.we greeted feel welcome hotel staff, rooms small clean bathrooms look new, rooms quiet hotel junction.the metro station end street bars restaurants.the breakfast fresh plenty fruit cheese bread cornflakes etc.a good base explore paris good hotel rates friendly staff,  ",1
12881,"great stay apollon montparnasse wife 3 adult daughters just returned days paris stayed hotel apollon, delight, paris great staff facilities apollon just little bit better.the hotel great location tourist district right metro stops away town, streets quiet night cafes restaurants immediate vicinity, nice dinner street late night owner wanted close going holidays day, canada threw open kitchan treated like royalty, remember people france holidays august really affects dining choices.the hotel clean clean clean, double triple big especially european standards, staff great friendly accomodating, watch elevator 2 passengers time.the value great, 100 euro including breakfast ca n't beat,  ",1
12880,"5/5, stayed apollon montparnasse week paris business trip.i admit suprised warm welcome received standing room.the staff really helpful.my bedroom quite small nicely decorated clean appliances provided.the hotel located near convenient metro station.i surely stay trip paris,  ",1
12876,"good not best booked room hotel nice comfortable view nice courtyard area, staff helpful breakfast nice early difficult, breakfast room nice large, males location friendlier females helping friends overweight luggage, overall nice really nice stays places expectation level bit high, 2 flights stairs bummer having small flight rome,  ",1
12907,"excellent resort price stayed sirenis april 13th 20th, drive hotel not bad like, potholes course experienced lot worse maritimes, unless consider princess drive resort fine.the check quick painless say, surprised wanted 50 deposit room safe key 3/day rental fee, mind budgeting money need, parents got surprise got, upgraded suite cocotal nice, sunken jacquzzi tub showers massive size room bigger patio windows everywheres, got stick bedroom suite tropical nice not nice theirs, room f building end bit bigger suites, went friends room noticed immediately end unit room bigger, shower make bit mess small glass wall instead shower curtain, thought did n't hot water did hot water shower comes certain spot water dial.grounds amazing, lots care taken, flamingos, peacocks walk shops careful scare crap n't sudden hear, pool huge, end quiet tropical, shallow end cocotal bit action, chairs reserved early order good spot shade, chair wars end afraid, great cocktails, loved miami vice not menu half pina colada half strawberry daiquiri, sirenis especiale tastes like orange creamsicle, white russians good, unless apple vacations customer n't beer mini fridge water pop, bring diet coke thats drink coke light tastes horrible no diet coke there.the food good, loved soft ice cream served lunch pool, brought root beer make root beer floats, nachos cheese good, loved mashed potatoes tasted really creamy, buffet pretty buffet resort, old old omelette station rice fish beef pork potatoes sort fruites no real salad, ate steak house japanese mexican ala cartes, liked, loved japanese best meal, himachi restaurant halifax liked japanese meal sirenis better, beef tenderloin steak house order instead striploin thank, 3 ribs order ribs, dessert selection good everywheres resort.i brought laptop offer free wireless internet lobby, good speed, easy connect password, able receive emails not able send reason, hotmail worked fine set, kept hockey scores everyone.beach okay not like varadero cuba, fine biege sand, ocean rought beautiful, not good area snorkel, did parasailing 45 single 85 pair, fun decent time, video pictures try sell, day photographers come pool area monkey parrots lizard photos, beleive cost 7 usd, sports bar completely day, ping pong table pool tables, bar bartender sure bored death evening, entertainment pretty good, mc night really funny, overall definately resort, loved set resort, loved pool area lobby,  ",1
