,text,label
39999,"Why would this film be so good, but only gross an estimated $95,000,000 and have NO award nominations? John Travolta knows what he's doing. He knows he's Michael, a cigar smoking, womanizing, magical arch angel that came down to live with a dying lady and is now in a car with the staff of ""The National Mirror"" and their dog, Sparky, on the way to Chicago. It then turns into a road trip that's both horrible AND great. I don't even think the death scenes (3 to be exact) make this a tearjerker. The soundtrack is the best with ""Heaven Is My Home"", ""Up Around The Bend"", and ""Chains Of Fools"". I have very great expectations about this and I say that it should have had a little more respect in the 90's. Read my comment. Bye!",1
39329,"Jim Henson always seemed to put out wonderful television shows. This was sadly one of the shortest lived. It was endearing to hear each tale with their delightful morals. Each episode was a new story, with new characters. John Hurt did a wonderful job playing the Storyteller, and the sarcastic tone of Brian Henson as the dog was always enjoyable.<br /><br />The set designs and costumes were very well done. The Muppet work, when required, is classic Jim Henson work. You know it is a Muppet, but it's endearing appearance more than forgives. You find yourself enchanted and compelled. When each episode comes to an end, you realize that you were quite entertained. An entertained that is fulfilling, not the kind that wears off after a few moments. You sit back and think about each episode, realizing that each story is indeed timeless, and presents a strong tale of morality.<br /><br />I have yet to show this to my own children, but this is indeed a series that is more than family entertainment. I implore you to find it on DVD, and snatch it up. If you can't do that, then just find it some how.",1
26315,"I remember watching this series avidly, every Saturday evening. It was the highlight of the week. I loved everything about it, the location, the costumes, the actors and the wonderful music by Clannad (I still have their Legend album). I loved the way they solved the problem of Michael Praed leaving by creating another Robin, this time the Earl of Huntingdon. I believe there were legends of several Robins in medieval times. Another thing I loved was the fact that it was filled with young actors, I'm sure Robin and his men would have young, after all people didn't live that long in those days. Other Robins always look too old (Kevin Costner with his ridiculous accent looked like Robin's granddad). The only sad thing was the ending, it's a shame they couldn't at least have done a one off special to tie up all the loose ends and give it a happier ending.",1
1290,"Norma Shearer dazzles as she is transformed from a frump, addle-brained house-wife to an alluring potential divorcee. Most 1930 films have a creaky edge to them -- the camera work is pretty sluggish at times -- but we must forgive these all-talking pleasures for their thump-a-long ""qualities"". As a guest of the eccentric globe-trotting Marie Dressler -- Shearer mixes with an odd assortment of lovelorn types, including her long-lost husband. The dialogue is fun, oft-times clever and the performances on cue. Shearer and Dressler shine the most. Shearer even shows off her piano expertise in a musical brevity. Her strange, yet appealing posturing and ""affair with the camera"" are evident throughout -- and she hits every emotional note, genuinely and on target. For its time . . .a good show.",1
1291,"Trey Parker and Matt Stone, the creators of the show 'South Park' , return with something entirely different.They create a new sport that combines baseball and basketball.This sport is known as baseketball.It's like basketball except that the rules of baseball are involved and there's another letter e in the title.Here's how you play: you just shoot the ball while these two guys try to distract you from making the shot.Sounds simple.In fact, I might try it one day.After the game hits the streets, it soon becomes a huge success.Who would've known that 2 immature friends could invent a sport that became so successful?<br /><br />My opinion<br /><br />'Baseketball' is a very crude and silly spoof filled with lots of slapstick violence, yet it actually delivers some laughs and plenty of entertainment.A definite recommendation for those of you who like slapstick and rude humor.",1
39333,"A somewhat fictionalized biographical portrait of Abraham Lincoln's early years from Director John Ford, concentrating primarily on a trial in which the young lawyer defends two brothers accused of murder.<br /><br />The film offers an interesting portrayal of this important American figure and the film is well made, but seems somewhat incomplete without any of the great moments from his presidency or even his debates with Stephen Douglas. The obvious intent was to portray Lincoln as young man developing the attributes that would make him the great man he would become. But the result for me was that while I admired the portrayal it just wasn't as satisfying as I think it could have been with a greater scope.<br /><br />In the role of Abraham Lincoln we have Henry Fonda who effectively displays a quiet strength. Fonda's performance includes some gangly mannerisms' and other affectations which are fairly effective in presenting a portrayal of Lincoln, particularly when combined with some effective makeup and the costuming which occasionally is a bit to overt.<br /><br />The supporting cast is solid and surprisingly does not include that many of Ford's regular supporting cast (sometimes referred to as his stock company) but we do have Ward Bond one of the most prolific character actors in Hollywood. Bond has appeared in more of the AFI Top 100 Films than any other actor, both the original and revised list. He has also appeared in 11 Best Picture Nominees.<br /><br />The film features one scene that would seem to have inspired a quite similar scene in ""To Kill a Mockingbird"", where it would be done even better than it is here, even though that scene is one of the most effective in this film.",1
39324,"I have just returned from Santa Fe. NM. I visited Loretto Chapel. As I looked around this building, which has been acquired by a private owner, I relived the movie version of the staircase. It is an overwhelming mystique that occupies this building. It is about what can happen if you really have faith. The bookstore there has a narrative on the subject, which is the story of the staircase. I read the narrative in its entirety. I was absorbed by the ambiance surrounding the people therein. It was like we were totally enclosed in a time warp, all with the same thoughts and awe. When we departed, the hush was overwhelming. Everyone should visit Loretto Chapel in Santa Fe. NM.",1
39332,"I will never forget this film or the events that lead up to Jonestown in Guyana. It just seems so tragic but needs to be told. Powers Boothe give a commanding performance as the leader Rev. Jim Jones from obscurity until total madness. It would have won him an Academy Award easily if it was released in the movie theaters. It is the kind of mini-series you won't forget. You won't forget the images of the cult's brutality, control, and obsessiveness of it's leader. His rise and fall and the threat from the outside world to destroy what he considered to be paradise. The mass suicide is horrifying, almost unreal to anybody's imagination as to why so many people (900+) went willingly or resisted JOnes' orders. They don't make mini series like these anymore where we're left with out mouths open and hungry to know what happened to the others.",1
1296,"This movie may be the best ever if you like watching movies and laughing and then subjecting your friends to watch those movies too. If you're anything like me, and you probably are, you'll be laughing for years to come at the jokes in this movie. One of the funniest parts is when Gus sharks some money off a guy with kids and then the guy takes those kids into the forest like Hansel and Gretel then he and his wife go home with them. The soup scene kitchen is rife with comic genius of buffoonery: ""Inspection officer -- Here!"" and the lines to follow will stay in my mind forever probably. When I have shown this movie to my friends, they usually say ""What was that?!?"" so if you're in the mood for one of those types of movies, yippee! This movie is so OOP it's not funny anymore, so probably the easiest way to get it would be online auctioning. The first time I saw it was from a rental.",1
1298,"Yet again, Madhur Bhandarkar takes you on a ride to the wild side. And a remarkable one it is, literally and figuratively.<br /><br />Mumbai hi-society -- stars and starlets, glam dolls and witch doctors, business tycoons and broker types, yep the whole stinking lot -- are in sharp focus here. In typical tabloid fashion, their worlds unfold, with every colorful story a clever sub-plot in itself.<br /><br />A struggling starlet dumped by the producer after getting her pregnant, the stewardess and her high-profile husband, the pedophile businessman and his neurotic wife, the reporters and the police captain; all shades on display and countless hues in between.<br /><br />Bhandarkar does a swell job of digging up the dirt on the drama kings, the dancing queens and the living dead. Atul Kulkarni packs a punch, as does Boman Irani and Sandhya Mrudul. Konkona Sen Sharma is effective as the ex-crime beat reporter, but she could have been dolled up a little in keeping with the job change and the party circuit.<br /><br />Highly focused (running time 140 min) and refreshingly different film, well worth the money.",1
